logz logzerr logvol nlive logl logwt insert_order
-9.393014737903136790e+01 4.431178009202615398e-01 -3.125000000000002220e-01 4.000000000000000000e+02 -8.898344989929499604e+01 -9.528866418598630617e+01 1.979999999999999982e+00
-9.370138624640917158e+01 5.512729967341133408e-01 -3.150000000000002243e-01 4.000000000000000000e+02 -8.860723370673649413e+01 -9.491494799342780198e+01 1.700000000000000122e-01
-9.344122666787139053e+01 5.291639253801827536e-01 -3.175000000000002265e-01 4.000000000000000000e+02 -8.833450880872706534e+01 -9.464472309541838513e+01 9.050000000000000266e-01
-9.317875245015720509e+01 5.315659603537704614e-01 -3.200000000000002287e-01 4.000000000000000000e+02 -8.806074264540930585e+01 -9.437345693210062336e+01 4.550000000000000155e-01
-9.291424170496293300e+01 4.869468595172828929e-01 -3.225000000000002309e-01 4.000000000000000000e+02 -8.800153287150112646e+01 -9.431674715819244170e+01 8.599999999999999867e-01
-9.269431941625508387e+01 5.379900828082185837e-01 -3.250000000000002331e-01 4.000000000000000000e+02 -8.798408333530807113e+01 -9.430179762199938409e+01 1.294999999999999929e+00
-9.251167097486539603e+01 6.018267658563607458e-01 -3.275000000000002354e-01 4.000000000000000000e+02 -8.784237313797240176e+01 -9.416258742466371245e+01 8.199999999999999512e-01
-9.233614412897046009e+01 6.519370177193588578e-01 -3.300000000000002376e-01 4.000000000000000000e+02 -8.783485779856172826e+01 -9.415757208525303668e+01 1.415000000000000036e+00
-9.218617829309518186e+01 5.786870162520006966e-01 -3.325000000000002398e-01 4.000000000000000000e+02 -8.782932827834466138e+01 -9.415454256503596753e+01 1.504999999999999893e+00
-9.205542624745119440e+01 6.338803849279210922e-01 -3.350000000000002420e-01 4.000000000000000000e+02 -8.775386202999801810e+01 -9.408157631668933618e+01 7.700000000000000178e-01
-9.193157973995154464e+01 6.265404774881173644e-01 -3.375000000000002442e-01 4.000000000000000000e+02 -8.771188461695926719e+01 -9.404209890365058300e+01 1.834999999999999964e+00
-9.181720246138020514e+01 5.014297369284709260e-01 -3.400000000000002465e-01 4.000000000000000000e+02 -8.748294571907011630e+01 -9.381566000576142983e+01 1.024999999999999911e+00
-9.169009046017271203e+01 4.242807850091879773e-01 -3.425000000000002487e-01 4.000000000000000000e+02 -8.745438348208304546e+01 -9.378959776877435672e+01 5.649999999999999467e-01
-9.157451717412929781e+01 3.515099918480937835e-01 -3.450000000000002509e-01 4.000000000000000000e+02 -8.731906724832174405e+01 -9.365678153501305303e+01 1.840000000000000080e+00
-9.145704739184229481e+01 3.130465521933440409e-01 -3.475000000000002531e-01 4.000000000000000000e+02 -8.730923137909954335e+01 -9.364944566579085006e+01 9.150000000000000355e-01
-9.135120319630152608e+01 3.315711063541934012e-01 -3.500000000000002554e-01 4.000000000000000000e+02 -8.727332199909068322e+01 -9.361603628578200187e+01 1.709999999999999964e+00
-9.125240151315674098e+01 3.664494848599585408e-01 -3.525000000000002576e-01 4.000000000000000000e+02 -8.721687103895986581e+01 -9.356208532565118219e+01 7.449999999999999956e-01
-9.115773459320922711e+01 3.877507018966841468e-01 -3.550000000000002598e-01 4.000000000000000000e+02 -8.718358405967506997e+01 -9.353129834636638407e+01 1.899999999999999911e+00
-9.106867282416554588e+01 3.793012989166822391e-01 -3.575000000000002620e-01 4.000000000000000000e+02 -8.715673090991401750e+01 -9.350694519660532933e+01 1.810000000000000053e+00
-9.098496463050868499e+01 3.281409245126876151e-01 -3.600000000000002642e-01 4.000000000000000000e+02 -8.692215274754090615e+01 -9.327486703423221570e+01 7.499999999999999722e-02
-9.088849480919783730e+01 3.376415756263909107e-01 -3.625000000000002665e-01 4.000000000000000000e+02 -8.667894773481216930e+01 -9.303416202150347658e+01 1.959999999999999964e+00
-9.077785728300874268e+01 4.160562322915530298e-01 -3.650000000000002687e-01 4.000000000000000000e+02 -8.655008271030283140e+01 -9.290779699699415062e+01 4.949999999999999956e-01
-9.066556086397028480e+01 4.373296617652658869e-01 -3.675000000000002709e-01 4.000000000000000000e+02 -8.651214559896726541e+01 -9.287235988565858236e+01 2.449999999999999956e-01
-9.056115367811612771e+01 4.085534865843116759e-01 -3.700000000000002731e-01 4.000000000000000000e+02 -8.642490112409700487e+01 -9.278761541078831954e+01 9.949999999999999956e-01
-9.045867871013111028e+01 4.100994104916697025e-01 -3.725000000000002753e-01 4.000000000000000000e+02 -8.638004317121074394e+01 -9.274525745790205633e+01 6.300000000000000044e-01
-9.036190277479965971e+01 3.294684279802724269e-01 -3.750000000000002776e-01 4.000000000000000000e+02 -8.631733976490936300e+01 -9.268505405160067312e+01 1.145000000000000018e+00
-9.026844486777854115e+01 3.315327557656866375e-01 -3.775000000000002798e-01 4.000000000000000000e+02 -8.623739231369040681e+01 -9.260760660038171466e+01 8.599999999999999867e-01
-9.017640510231517226e+01 3.273162333760908926e-01 -3.800000000000002820e-01 4.000000000000000000e+02 -8.619530550411795389e+01 -9.256801979080927367e+01 1.125000000000000000e+00
-9.008886883406097468e+01 3.727349153376302016e-01 -3.825000000000002842e-01 4.000000000000000000e+02 -8.608615034536330768e+01 -9.246136463205462519e+01 8.050000000000000488e-01
-8.999971601909530250e+01 3.303446796762021798e-01 -3.850000000000002864e-01 4.000000000000000000e+02 -8.597986020462150236e+01 -9.235757449131281760e+01 2.449999999999999956e-01
-8.990930633312591169e+01 3.980120211520883355e-01 -3.875000000000002887e-01 4.000000000000000000e+02 -8.581867783329118993e+01 -9.219889211998250289e+01 2.800000000000000266e-01
-8.981280739068736807e+01 3.916096175226199128e-01 -3.900000000000002909e-01 4.000000000000000000e+02 -8.565440040608956451e+01 -9.203711469278087520e+01 1.764999999999999902e+00
